OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
5009,H0357,Newcastle,0,Pacific Gas & Electric (PG&E),Placer,11.5,Unit 943,WAT,10/28/1986 12:00:00 AM,0,-121.092978116,38.8352335220001
5010,H0569,Wise,0,Pacific Gas & Electric (PG&E),Placer,17.1,"Unit 1, Unit 2",WAT,3/4/1917 12:00:00 AM,0,-121.098521271,38.889778495
5011,H0096,Chili Bar,0,Sacramento Municipal Utility District (SMUD),El Dorado,7.02,1,WAT,3/1/1965 12:00:00 AM,0,-120.813144609,38.771826214
5012,H0167,El Dorado,0,El Dorado Irrigation District,El Dorado,20,"1, 2",WAT,1/26/1924 12:00:00 AM,0,-120.619148077,38.7935058640001
5013,H0422,Rock Creek L.P.,0,Hydroland,El Dorado,3.6,"1, 2",WAT,4/1/1986 12:00:00 AM,0,-120.778481565,38.7834169000001
5014,H0482,Slab Creek,0,Sacramento Municipal Utility District (SMUD),El Dorado,0.4,1,WAT,7/1/1983 12:00:00 AM,0,-120.698105563,38.7725535970001
5015,H0565,White Rock,0,Sacramento Municipal Utility District (SMUD),El Dorado,230,"Unit 1, Unit 2",WAT,2/1/1968 12:00:00 AM,0,-120.787358375,38.765306019
5016,H0081,Camino,0,Sacramento Municipal Utility District (SMUD),El Dorado,308,"1, 2, H1, H2",WAT,10/1/1963 12:00:00 AM,0,-120.53662065,38.82829407
5017,H0253,Jaybird,0,Sacramento Municipal Utility District (SMUD),El Dorado,154,"Unit 1, Unit 2",WAT,4/1/1961 12:00:00 AM,0,-120.531701022,38.834069003
5018,H0532,Union Valley,0,Sacramento Municipal Utility District (SMUD),El Dorado,46.7,Unit 1,WAT,10/1/1963 12:00:00 AM,0,-120.444325154,38.864308812
5019,H0255,Jones Fork,0,Sacramento Municipal Utility District (SMUD),El Dorado,11.5,Unit 1,WAT,6/1/1985 12:00:00 AM,0,-120.381869742,38.8502959630001
5020,H0414,Robbs Peak,0,Sacramento Municipal Utility District (SMUD),El Dorado,29.5,Unit 1,WAT,10/1/1965 12:00:00 AM,0,-120.378288461,38.896490886
5021,S9015,County of Lake,0,Not Available,Lake,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.919093604,39.1066585080001
5022,H0243,Indian Valley Dam,0,Yolo County Flood Control & Water Conservation District,Lake,3.01,"1641, 1642, 8332",WAT,10/1/1983 12:00:00 AM,0,-122.535566862,39.0788350030001
5023,S9019,Power Agency Northern CA,0,Not Available,Lake,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.627022702,38.9840763230001
5024,E0102,Wadham,0,Enpower Management Corporation,Colusa,29,UNIT 1,AB,5/1/1990 12:00:00 AM,0,-122.11057227,39.105752528
5025,G0917,Feather River Peaker,0,"Gilroy Energy Center, LLC",Sutter,48.1,GL4JT1,NG,12/1/2002 12:00:00 AM,0,-121.609345817,39.1089844110001
5026,G0238,Greenleaf 1  Inc.,0,Calpine Corporation - West Region,Sutter,60.7,"GL1JT1, GL1ST1, Unit A, Unit B",NG,3/1/1989 12:00:00 AM,0,-121.692428824,39.05241161
5027,G0779,Sutter Energy Center,0,Calpine Corporation - West Region,Sutter,551.8,"ST1CT1, ST1CT2, ST1ST1",NG,7/1/2001 12:00:00 AM,1,-121.6961839,39.05300714
5028,S9311,Pristine Sun Fund 8 Sutter PGE LLC_(2179_Smotherman),0,Not Available,Sutter,0.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.498550538,39.093933534
5029,E0237,Ostrom Road,0,G2 Energy (Ostrom Road) LLC,Yuba,3.2,"359, 361",LFG,2/1/2009 12:00:00 AM,0,-121.396934468,39.075384451
5030,H0083,Camp Far West,0,South Sutter Water District,Placer,6.8,1,WAT,2/1/1985 12:00:00 AM,0,-121.316978747,39.048792523
5031,H0054,Combie South (3 @ 500kW = 1.5MW),0,Nevada Irrigation District,Nevada,1.5,1,WAT,4/27/1984 12:00:00 AM,0,-121.059065463,39.0096261740001
5032,H0109,Combie North (550 kW),0,Nevada Irrigation District,Placer,0.3,6P,WAT,10/1/1987 12:00:00 AM,0,-121.058740537,39.0101758120001
5033,H0217,Halsey,0,Pacific Gas & Electric (PG&E),Placer,11,Unit 569,WAT,12/6/1916 12:00:00 AM,0,-121.041911586,38.9569644630001
5034,H0374,Oxbow,0,Placer County Water Agency,Placer,6,915,WAT,10/1/1966 12:00:00 AM,0,-120.746551288,39.0035434970001
5035,H0406,Ralston,0,Placer County Water Agency,Placer,79,914,WAT,10/1/1966 12:00:00 AM,0,-120.725053558,39.000971619
5036,H0275,Middle Fork American River,0,Placer County Water Agency,Placer,116,"UNIT 1, UNIT 2",WAT,10/1/1966 12:00:00 AM,0,-120.596357673,39.024737557
5037,H0195,French Meadows,0,Placer County Water Agency,Placer,15,911,WAT,10/1/1966 12:00:00 AM,0,-120.406094392,39.0779692150001
